DTW,MYR
MSN,DTW
SFO,CVG
RDU,SLC
SLC,RDU
MSY,MSP
DTW,PVD
MSP,GTF
DTW,PBI
PBI,DTW
GTF,MSP
SEA,MKE
MCO,IND
MEM,LAX
MSP,BIS
IND,MCO
AVP,ATL
SAT,DTW
MSO,SLC
BIL,MSP
PHF,ATL
SAT,JFK
BNA,SLC
CLT,SLC
COS,ATL
KOA,LAX
ATL,COS
DTW,BZN
TYS,ATL
DTW,PIT
SLC,CLT
ONT,SLC
ATL,CHO
MEM,DTW
MSP,SYR
MHT,ATL
TLH,ATL
CMH,SLC
MSP,RNO
RNO,MSP
BZN,LGA
LGA,BZN
AUS,BOS
ATL,BZN
BZN,ATL
JAC,ATL
MSO,ATL
ATW,MSP
ATL,TVC
MSP,ATW
MSP,CVG
DFW,MSP
DTW,CLE
LAX,MEM
SLC,STL
LGA,PWM
JFK,DTW
ROC,DTW
JFK,DFW
DFW,JFK
DTW,JFK
CVG,MSP
DTW,SJC
SJC,DTW
MSP,LEX
ORF,LGA
RDU,LGA
SAV,JFK
JFK,ROC
ROC,JFK
JFK,RDU
RDU,JFK
LGA,DSM
DTW,EVV
EVV,DTW
IND,RDU
BWI,CVG
MOT,MSP
MSP,MOT
DTW,TYS
TYS,DTW
GSO,LGA
LGA,GSO
JFK,ORD
RDU,IND
DTW,HPN
HPN,DTW
CVG,ORD
ORD,CVG
RDU,DCA
MSP,DSM
RDU,PHL
LGA,MCI
CWA,DTW
BWI,JFK
LGA,ROC
ROC,LGA
ATL,OAJ
OAJ,ATL
DSM,DTW
JFK,CLE
PHL,CVG
ATL,SGF
SGF,ATL
ATL,SHV
SHV,ATL
CLT,CVG
CVG,CLT
CHA,LGA
DTW,CVG
LGA,CVG
AEX,ATL
ATL,AEX
CVG,AUS
RDU,AUS
ATL,GNV
AUS,RDU
LGA,CHA
ATL,GRB
ATL,RST
CSG,ATL
BWI,RDU
RDU,BWI
CWA,MSP
MSP,CWA
ATL,BTR
BTR,ATL
CLE,BOS
LGA,CHO
JFK,IND
LGA,CLT
CHO,LGA
CLT,LGA
EVV,ATL
CVG,DCA
DCA,CVG
JFK,SYR
DSM,MSP
RST,ATL
ATL,CSG
ATL,MLI
MLI,ATL
MEM,LGA
BOS,PHL
PHL,BOS
CID,DTW
DTW,CID
LGA,RDU
CLE,LGA
DTW,GSO
LGA,LEX
JFK,BWI
DTW,DSM
ORF,MSP
BOS,MYR
CVG,BWI
MYR,BOS
ATL,EWN
RDU,BDL
CVG,DTW
MCI,BOS
ATL,EVV
RDU,CVG
BUF,JFK
JFK,BUF
XNA,LGA
JFK,RIC
EWN,ATL
BDL,RDU
ATL,BMI
BMI,ATL
DTW,MBS
MBS,DTW
SFO,PHX
LAX,CLT
DFW,PHX
CLT,TPA
TPA,CLT
DFW,TUS
TUS,DFW
PHX,SMF
MIA,DFW
SDF,LAX
CLT,DCA
ORD,CLT
SAT,PHX
PHX,MIA
DFW,MCI
MCI,DFW
CLT,BDL
PIT,PHL
BOS,CLT
CLT,BNA
CLT,SFO
CLT,SEA
LAS,PHX
PHX,LAS
CLT,FLL
FLL,CLT
DEN,PHX
PHL,SAN
MCI,CLT
MIA,MSY
MSY,MIA
BNA,CLT
JAX,CLT
TPA,DCA
MCO,DFW
CLT,PIT
PIT,CLT
SAN,PHL
DFW,MEM
SAV,CLT
PHL,TPA
CLT,SAV
DCA,ORD
DFW,MYR
MYR,DFW
MCO,CLT
CLT,MCO
DFW,PHL
ORD,PHL
PHL,ORD
RDU,CLT
ORD,PHX
AUS,PHX
DCA,DFW
PHX,SJC
SJC,PHX
LGA,PIT
CLT,CLE
PHL,BDL
PHL,LGA
SEA,PHL
DCA,LGA
LGA,DCA
DCA,BOS
BOS,DCA
DCA,CLT
LAS,PHL
MAF,DFW
TPA,MIA
DFW,ORD
ORD,DFW
AUS,CLT
EGE,DFW
DFW,EGE
ORD,BOS
PHX,BOI
ORD,DCA
ORD,IND
PWM,PHL
PIT,DCA
DFW,MCO
MIA,DEN
SAT,DFW
DFW,FLL
FLL,DFW
MIA,CLT
CLT,DFW
MCI,ORD
ORD,MCI
RIC,DFW
DFW,MIA
DFW,CMH
ORD,AUS
STL,ORD
ORD,RSW
DFW,IAH
DFW,MSY
DFW,SNA
BUF,PHL
OMA,ORD
DFW,DCA
DFW,PDX
DEN,IND
IND,DEN
DEN,TYR
TYR,DEN
DEN,RNO
RNO,DEN
DEN,FLL
FLL,DEN
DEN,ICT
ICT,DEN
DEN,PDX
LAS,MSN
MSN,LAS
LAS,SAN
SAN,LAS
PHL,MSY
MSY,PHL
PHL,CLT
CLT,PHL
PHL,MYR
MYR,PHL
DEN,SNA
SNA,DEN
DEN,DCA
DCA,DEN
LAS,IAD
IAD,MCO
MCO,MEM
MEM,MCO
DEN,ALB
ALB,MCO
MCO,SAN
SAN,MCO
PHL,CHS
CHS,PHL
PHL,SAV
SAV,PHL
TTN,ATL
DEN,FAT
FAT,DEN
RDU,SAN
SAN,SAT
ATL,TTN
MCO,TTN
TTN,RSW
RSW,TTN
TTN,ORD
BNA,DEN
DEN,MYR
MYR,DEN
CVG,PHL
DEN,XNA
XNA,DEN
DEN,LAS
LAS,TPA
MCO,TUL
TUL,MCO
MCO,IAD
IAD,LAS
LAS,MCO
RDU,PVD
PVD,DEN
CVG,LGA
AUS,ORD
ORD,SYR
SYR,ORD
ORD,BNA
BNA,ORD
ORD,ELP
AUS,CVG
LAS,RDU
AUS,TPA
TPA,LAS
LAS,SMF
SMF,LAS
DEN,CLE
DEN,RDU
MCO,BWI
BWI,MCO
MCO,IAH
IAH,LAS
MCO,BHM
BHM,MCO
MCO,MSY
MSY,MCO
MCO,LAS
DEN,SBA
CLE,DEN
DEN,SFO
TTN,JAX
MCO,HSV
HSV,DEN
PHX,DEN
DEN,ONT
ONT,MCO
MCO,ALB
ALB,DEN
PHX,ORD
ORD,TPA
TPA,AUS
AUS,DEN
DTW,TTN
CLE,LAS
LAS,CLE
CLE,MCO
MCO,CLE
SFO,DEN
DEN,JAX
JAX,DEN
TPA,ORD
AUS,LAS
LAS,DEN
CVG,RDU
RDU,CMH
CMH,RDU
DEN,OKC
OKC,DEN
PHX,COS
COS,IAD
IAD,COS
COS,PHX
DEN,TPA
CLT,DEN
DEN,PVD
PVD,RDU
RDU,DEN
SAT,DEN
DEN,BIS
BIS,DEN
DEN,PIT
PIT,DEN
LAS,GEG
GEG,LAS
PDX,DEN
DEN,BDL
BDL,DEN
DEN,IAH
TPA,CLE
CLE,TPA
TPA,PHL
PHL,RDU
RDU,ISP
ISP,RDU
PHL,MKE
MKE,LAS
LAS,IAH
IAH,MCO
LAS,IND
IND,LAS
TTN,DTW
DEN,AUS
AUS,MSY
MSY,AUS
DEN,IAD
IAD,AUS
AUS,IAD
IAD,DEN
MCO,MKE
MKE,PHL
PHL,LAS
RDU,PBI
PBI,RDU
RDU,ALB
ALB,RDU
RDU,LAS
SAT,SAN
SAN,DEN
DEN,HSV
HSV,MCO
DEN,ORD
ORD,JAX
JAX,ORD
ORD,DEN
DEN,CLT
MCO,ONT
ONT,DEN
LAS,COS
COS,MSP
MSP,COS
COS,LAS
LAS,AUS
DEN,MCO
IAH,DEN
DEN,SAN
SAN,RDU
RDU,JAX
JAX,RDU
BOS,DEN
LAS,MKE
MKE,MCO
CLE,RSW
RSW,CLE
CLE,SFO
DEN,MIA
SJU,PHL
PHL,MCO
MCO,ISP
DEN,ORF
ORF,DEN
MCO,BUF
BUF,MCO
MCO,PHL
MCO,STL
MCO,SYR
SYR,MCO
MCO,SJU
DEN,BMI
BMI,DEN
ISP,TPA
TPA,ISP
ISP,MCO
MCO,DEN
MCO,PWM
PWM,MCO
MCO,BMI
BMI,MCO
MCO,OKC
OKC,MCO
MCO,ORD
ORD,LAS
DEN,RSW
RSW,DEN
DEN,PNS
PNS,DEN
PHL,RSW
RSW,PHL
PHL,SJU
ORD,MCO
MCO,SAT
SAT,MCO
SJU,MCO
DEN,MSY
MSY,DEN
SFO,CLE
CLE,PHX
PHX,CLE
CLE,AUS
AUS,CLE
DEN,CID
CID,DEN
LAS,STL
STL,MCO
CLE,CHS
CHS,CLE
